"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Confirma que com a chave correta o pipeline completa (201) e a entidade
pode ser lida em seguida e removida.","24","Write com X-Api-Key valido segue normalmente","","Sun May 24 22:45:21 UTC 2026","passed","Sun May 24 22:45:21 UTC 2026","Auth Api Key","Suites","",""
"POST com header X-Api-Key contendo valor incorreto tambem deve ser 401.
FixedTimeEquals no handler garante constant-time check; aqui so importa o status.","6","Write com X-Api-Key invalido retorna 401","","Sun May 24 22:45:21 UTC 2026","passed","Sun May 24 22:45:21 UTC 2026","Auth Api Key","Suites","",""
"Cria duas empresas em coordenadas proximas e valida que a busca de vizinhos
retorna a segunda como vizinha da primeira. Cobre filter + neighbors + delete.","358","Empresas - Criar, filtrar e buscar vizinhos","","Sun May 24 22:45:21 UTC 2026","passed","Sun May 24 22:45:21 UTC 2026","Caminho Feliz","Suites","",""
"Cria empresa via API REST, abre tela Gestao Empresas
logado como admin, e confirma que o nome fantasia
aparece na tabela. Cleanup ao final.","644","Empresa criada via API aparece na lista admin","","Sun May 24 22:45:24 UTC 2026","passed","Sun May 24 22:45:25 UTC 2026","Ui Empresa Lista Admin","Suites","",""
"Admin clica em Editar na linha da empresa, altera o
Nome Fantasia no modal e clica em ""Salvar Alterações"".
Modal fecha + tabela mostra o nome atualizado +
GET /api/empresas/{id} confirma a persistencia.","870","Editar empresa via modal de edicao admin","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:29 UTC 2026","Ui Crud Admin Completo","Suites","",""
"Cria empresa, soft-deleta via API, e valida via UI:
filtro ""ativo"" NAO mostra a empresa; filtro ""inativo"" mostra.
Cobre o caminho que o admin usa pra revisar empresas
arquivadas e potencialmente reativar.","1104","Soft-delete via API esconde empresa do filtro ""ativo"" e mostra em ""inativo""","","Sun May 24 22:45:25 UTC 2026","passed","Sun May 24 22:45:26 UTC 2026","Ui Empresa Lista Admin","Suites","",""
"Verifica que o body do 400 tem os campos minimos do
ProblemDetails: status, title, detail.","20","ProblemDetails - estrutura RFC 7807 nas respostas 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"","16","Empresa - Latitude fora de range retorna 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"Click no toggle de filtros da legenda do mapa abre o
painel lateral ""Filtros"" com input de busca e caixa
""Empresas"".","476","Painel publico - filtros aparecem ao abrir painel de filtros","","Sun May 24 22:45:23 UTC 2026","passed","Sun May 24 22:45:24 UTC 2026","Ui Smoke","Suites","",""
"MaxRaioMetros=10000 no compose. Request com raio 15000 deve
ser rejeitado antes mesmo de bater no WireMock.","26","Import Google Maps - raio acima do maximo retorna 400","","Sun May 24 22:45:22 UTC 2026","passed","Sun May 24 22:45:22 UTC 2026","Google Maps Import","Suites","",""
"Apos soft delete de uma empresa, ela nao deve mais ser retornada
como vizinha de outra empresa (EmpresaNeighborhoodService filtra
Status == Ativo).","72","Empresa inativa nao aparece como vizinha","","Sun May 24 22:45:21 UTC 2026","passed","Sun May 24 22:45:21 UTC 2026","Empresa Reativacao","Suites","",""
"Login admin -> tela Importar do Google Maps -> preenche
CEP + raio + tipo ""farmacia"" -> submit -> deve mostrar
contador ""Encontrados: 0"" porque o mapping da farmacia
devolve vazio (sem efeito colateral no banco).","714","Form de import dispara busca e mostra resultados","","Sun May 24 22:45:26 UTC 2026","passed","Sun May 24 22:45:27 UTC 2026","Ui Google Maps Import","Suites","",""
"Dois imports consecutivos com o mesmo mapping nao devem criar
duplicatas. O segundo enriquece campos vazios ou ignora se ja
tudo preenchido. Empresas continuam com Status=AguardandoRevisao.","59","Import Google Maps - dedup por GooglePlaceId em segundo import","","Sun May 24 22:45:22 UTC 2026","passed","Sun May 24 22:45:22 UTC 2026","Google Maps Import","Suites","",""
"","10","Ponto Institucional - Latitude fora de range retorna 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"POST sem header X-Api-Key deve ser rejeitado pelo middleware
de autenticacao antes mesmo de chegar no handler.","6","Write sem X-Api-Key retorna 401","","Sun May 24 22:45:21 UTC 2026","passed","Sun May 24 22:45:21 UTC 2026","Auth Api Key","Suites","",""
"","10","Ponto Institucional - Email invalido retorna 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"","19","Empresa - CNPJ com menos de 14 digitos retorna 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"Ciclo completo de soft delete e reativacao de uma empresa via PUT.","139","Empresa - soft delete + reativacao","","Sun May 24 22:45:21 UTC 2026","passed","Sun May 24 22:45:21 UTC 2026","Empresa Reativacao","Suites","",""
"","17","Empresa - Longitude fora de range retorna 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"Empresa pre-soft-deletada via API aparece no filtro
""inativo""; admin clica ""Reativar""; linha some de
""inativo"" e reaparece em ""ativo""; API confirma
Status=Ativo.","1624","Reativar empresa inativa via UI: volta ao estado ativo","","Sun May 24 22:45:30 UTC 2026","passed","Sun May 24 22:45:32 UTC 2026","Ui Crud Admin Completo","Suites","",""
"","8","Telefone Util - Nome vazio retorna 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"GET /api/telefones-uteis sem nenhum header de auth deve retornar 200.","6","Read anonimo continua acessivel","","Sun May 24 22:45:21 UTC 2026","passed","Sun May 24 22:45:21 UTC 2026","Auth Api Key","Suites","",""
"","15","Empresa - CEP com formato invalido retorna 400","","Sun May 24 22:45:28 UTC 2026","passed","Sun May 24 22:45:28 UTC 2026","Fluentvalidation 400","Suites","",""
"Usuario anonimo tenta abrir ""Empresas"" no submenu de
Gestao - LoginModal aparece. Apos preencher API_KEY do
env, modal fecha e a tela de Gestao renderiza com o
titulo ""Empresas Cadastradas"".","604","Login admin - chave correta destrava tela de Gestao Empresas","","Sun May 24 22:45:24 UTC 2026","passed","Sun May 24 22:45:24 UTC 2026","Ui Smoke","Suites","",""
"Empresa criada via import (Status=AguardandoRevisao) deve poder
ser aprovada via PUT com status=1 (Ativo). Apos aprovada, passa
a aparecer no filtro ?status=ativo (mapa publico).

Usa tipo=supermercado pra ter GooglePlaceId distinto dos testes
anteriores (tipo=loja). Sem isso, o dedup do backend (re-import
de empresas ja existentes vira ""atualizado""/""ignorado"", nao
""criado"") deixa o teste sem candidata fresca pra aprovar.","79","Import Google Maps - aprovacao promove para Status Ativo","","Sun May 24 22:45:22 UTC 2026","passed","Sun May 24 22:45:22 UTC 2026","Google Maps Import","Suites","",""
"Smoke basico: abre o painel anonimo, garante que o app
React monta e o mapa esta visivel com o titulo do menu.","970","Painel publico - mapa carrega com titulo correto","","Sun May 24 22:45:22 UTC 2026","passed","Sun May 24 22:45:23 UTC 2026","Ui Smoke","Suites","",""
